antenna 0	Antenna1	714.3	500.0	
antenna 1	Antenna1	1428.6	500.0	
antenna 2	Antenna1	2142.9	500.0	
antenna 3	Antenna1	2857.1	500.0	
antenna 4	Antenna1	3571.4	500.0	
antenna 5	Antenna1	4285.7	500.0	
antenna 6	Antenna1	714.3	1000.0	
antenna 7	Antenna1	1428.6	1000.0	
antenna 8	Antenna1	2142.9	1000.0	
antenna 9	Antenna1	2857.1	1000.0	
antenna 10	Antenna1	3571.4	1000.0	
antenna 11	Antenna1	4285.7	1000.0	
antenna 12	Antenna1	714.3	1500.0	
antenna 13	Antenna1	1428.6	1500.0	
antenna 14	Antenna1	2142.9	1500.0	
antenna 15	Antenna1	2857.1	1500.0	
antenna 16	Antenna1	3571.4	1500.0	
antenna 17	Antenna1	4285.7	1500.0	
antenna 18	Antenna1	714.3	2000.0	
antenna 19	Antenna1	1428.6	2000.0	
antenna 20	Antenna1	2142.9	2000.0	
antenna 21	Antenna1	2857.1	2000.0	
antenna 22	Antenna1	3571.4	2000.0	
antenna 23	Antenna1	4285.7	2000.0	
antenna 24	Antenna1	714.3	2500.0	
antenna 25	Antenna1	1428.6	2500.0	
antenna 26	Antenna1	2142.9	2500.0	
antenna 27	Antenna1	2857.1	2500.0	
antenna 28	Antenna1	3571.4	2500.0	
antenna 29	Antenna1	4285.7	2500.0	
antenna 30	Antenna1	714.3	3000.0	
antenna 31	Antenna1	1428.6	3000.0	
antenna 32	Antenna1	2142.9	3000.0	
antenna 33	Antenna1	2857.1	3000.0	
antenna 34	Antenna1	3571.4	3000.0	
antenna 35	Antenna1	4285.7	3000.0	
antenna 36	Antenna1	714.3	3500.0	
antenna 37	Antenna1	1428.6	3500.0	
antenna 38	Antenna1	2142.9	3500.0	
antenna 39	Antenna1	2857.1	3500.0	
ue     	35	UE1-App1	4959.0	3856.2	app1
ue     	36	UE1-App1	3150.0	933.5	app1
ue     	37	UE1-App1	2419.1	710.4	app1
ue     	38	UE1-App1	4959.8	1778.0	app1
ue     	39	UE1-App1	3758.3	176.5	app1
ue     	40	UE2-App2	673.6	772.7	app2
ue     	41	UE2-App2	1281.8	1408.2	app2
ue     	42	UE2-App2	1359.6	1737.1	app2
ue     	43	UE2-App2	2101.8	434.5	app2
ue     	44	UE2-App2	313.0	1420.2	app2
ue     	45	UE2-App2	443.9	1732.8	app2
ue     	46	UE2-App2	42.8	2143.2	app2
ue     	47	UE2-App2	367.4	2776.8	app2
ue     	48	UE2-App2	2021.0	3941.4	app2
ue     	49	UE2-App2	1312.7	1890.0	app2
ue     	50	UE2-App2	3754.1	1339.3	app2
ue     	51	UE2-App2	1741.8	2556.5	app2
ue     	52	UE2-App2	4848.4	3535.5	app2
ue     	53	UE2-App2	2095.2	2870.9	app2
ue     	54	UE2-App2	3395.3	1488.4	app2
ue     	55	UE2-App2	1174.8	313.5	app2
ue     	56	UE2-App2	4394.5	228.6	app2
ue     	57	UE2-App2	2593.5	2150.1	app2
ue     	58	UE2-App2	730.7	2623.7	app2
ue     	59	UE2-App2	4579.1	3104.5	app2
ue     	60	UE2-App2	1946.3	505.9	app2
ue     	61	UE2-App2	4874.6	2068.4	app2
ue     	62	UE2-App2	3148.1	3209.1	app2
ue     	63	UE2-App2	1931.2	248.2	app2
ue     	64	UE2-App2	680.1	2673.8	app2
ue     	65	UE2-App2	1747.7	3484.3	app2
ue     	66	UE2-App2	3700.8	3921.8	app2
ue     	67	UE2-App2	3344.2	1215.2	app2
ue     	68	UE2-App2	3955.5	113.0	app2
ue     	69	UE2-App2	2608.0	3485.6	app2
ue     	70	UE2-App2	2573.6	549.5	app2
ue     	71	UE2-App2	2500.6	2181.8	app2
ue     	72	UE2-App2	1845.0	3573.7	app2
ue     	73	UE2-App2	1700.4	1087.0	app2
ue     	74	UE2-App2	2531.5	813.1	app2
ue     	75	UE2-App2	1610.3	1592.7	app2
ue     	76	UE2-App2	4691.3	321.4	app2
ue     	77	UE2-App2	985.5	798.0	app2
ue     	78	UE2-App2	4976.3	3563.2	app2
ue     	79	UE2-App2	970.8	2258.5	app2
ue     	80	UE3-App3	425.5	1268.1	app3
ue     	81	UE3-App3	1705.7	2150.7	app3
ue     	82	UE3-App3	4646.9	3236.1	app3
ue     	83	UE3-App3	2670.9	3144.3	app3
ue     	84	UE3-App3	2419.8	2922.2	app3
ue     	85	UE3-App3	3884.8	1027.4	app3
ue     	86	UE3-App3	4163.9	2311.8	app3
ue     	87	UE3-App3	2430.6	1583.3	app3
ue     	88	UE3-App3	1120.7	2005.0	app3
ue     	89	UE3-App3	630.5	2539.1	app3
ue     	90	UE3-App3	4491.3	3162.1	app3
ue     	91	UE3-App3	3045.8	1977.9	app3
ue     	92	UE3-App3	3478.9	489.3	app3
ue     	93	UE3-App3	262.2	3446.6	app3
ue     	94	UE3-App3	1809.2	2675.8	app3
ue     	95	UE3-App3	2103.8	1434.7	app3
ue     	96	UE3-App3	3851.4	1372.1	app3
ue     	97	UE3-App3	3768.6	3281.9	app3
ue     	98	UE3-App3	903.4	3908.9	app3
ue     	99	UE3-App3	312.2	1658.9	app3
ue     	100	UE3-App3	2502.4	3317.4	app3
ue     	101	UE3-App3	874.4	2236.1	app3
ue     	102	UE3-App3	1842.6	3686.7	app3
ue     	103	UE3-App3	611.6	1061.7	app3
ue     	104	UE3-App3	4099.0	1288.9	app3
ue     	105	UE3-App3	4721.1	206.4	app3
ue     	106	UE3-App3	1942.1	429.9	app3
ue     	107	UE3-App3	2867.7	3852.5	app3
ue     	108	UE3-App3	1623.5	2587.3	app3
ue     	109	UE3-App3	1329.6	1756.9	app3
ue     	110	UE3-App3	2857.6	993.7	app3
ue     	111	UE3-App3	3452.3	2004.0	app3
ue     	112	UE3-App3	4527.3	1100.1	app3
ue     	113	UE3-App3	4774.3	728.8	app3
ue     	114	UE3-App3	99.6	2640.8	app3
ue     	115	UE3-App3	3668.8	1909.3	app3
ue     	116	UE3-App3	213.8	3992.5	app3
ue     	117	UE3-App3	707.8	3481.9	app3
ue     	118	UE3-App3	4457.7	883.4	app3
ue     	119	UE3-App3	4319.7	1853.6	app3
ue     	120	UE3-App3	4497.9	3550.1	app3
ue     	121	UE3-App3	3871.5	1154.8	app3
ue     	122	UE3-App3	2900.5	3925.3	app3
ue     	123	UE3-App3	1603.1	1546.0	app3
ue     	124	UE3-App3	3439.9	250.5	app3
ue     	125	UE3-App3	1266.8	672.1	app3
ue     	126	UE3-App3	2080.3	1699.9	app3
ue     	127	UE3-App3	3035.3	1987.2	app3
ue     	128	UE3-App3	823.8	186.5	app3
ue     	129	UE3-App3	2623.9	3055.4	app3
ue     	130	UE3-App3	4634.5	3358.6	app3
ue     	131	UE3-App3	1513.8	3462.7	app3
ue     	132	UE3-App3	2337.0	1129.8	app3
ue     	133	UE3-App3	460.8	1770.8	app3
ue     	134	UE3-App3	2724.8	1117.2	app3
ue     	135	UE3-App3	976.5	3763.6	app3
ue     	136	UE3-App3	338.9	3757.6	app3
ue     	137	UE3-App3	2032.1	3166.1	app3
ue     	138	UE3-App3	554.7	2280.0	app3
ue     	139	UE3-App3	3808.5	1744.0	app3
ue     	140	UE3-App3	1782.3	1972.9	app3
ue     	141	UE3-App3	972.3	846.5	app3
ue     	142	UE3-App3	1206.6	150.2	app3
ue     	143	UE3-App3	4550.1	293.8	app3
ue     	144	UE3-App3	4635.7	43.8	app3
ue     	145	UE3-App3	3281.1	2187.7	app3
ue     	146	UE3-App3	209.2	3765.9	app3
ue     	147	UE3-App3	3653.8	3516.5	app3
ue     	148	UE3-App3	2178.3	1165.5	app3
ue     	149	UE3-App3	929.6	450.9	app3
ue     	150	UE3-App3	3354.7	3287.2	app3
ue     	151	UE3-App3	1060.1	103.9	app3
ue     	152	UE3-App3	1807.7	611.5	app3
ue     	153	UE3-App3	1124.7	888.2	app3
ue     	154	UE3-App3	3312.1	1738.4	app3
ue     	155	UE3-App3	2802.4	1560.3	app3
ue     	156	UE3-App3	4918.4	1987.7	app3
ue     	157	UE3-App3	213.0	556.9	app3
ue     	158	UE3-App3	3656.1	3650.5	app3
ue     	159	UE3-App3	629.9	1840.4	app3
ue     	160	UE3-App3	4310.8	2207.2	app3
ue     	161	UE3-App3	87.1	2083.5	app3
ue     	162	UE3-App3	1443.8	853.5	app3
ue     	163	UE3-App3	4683.1	422.9	app3
ue     	164	UE3-App3	4148.5	3012.0	app3
ue     	165	UE3-App3	2964.1	1299.5	app3
ue     	166	UE3-App3	413.9	2675.0	app3
ue     	167	UE3-App3	4796.1	719.2	app3
ue     	168	UE3-App3	630.7	1900.7	app3
ue     	169	UE3-App3	4256.8	21.3	app3
ue     	170	UE3-App3	3944.2	345.2	app3
ue     	171	UE3-App3	161.5	585.6	app3
ue     	172	UE3-App3	2288.0	3747.8	app3
ue     	173	UE3-App3	3306.5	238.5	app3
ue     	174	UE3-App3	758.5	1845.3	app3
ue     	175	UE3-App3	451.4	2673.4	app3
ue     	176	UE3-App3	1794.7	3824.3	app3
ue     	177	UE3-App3	4098.5	3267.6	app3
ue     	178	UE3-App3	1175.7	1725.2	app3
ue     	179	UE3-App3	3357.9	357.6	app3
ue     	180	UE3-App3	47.7	1309.5	app3
ue     	181	UE3-App3	2003.6	3147.6	app3
ue     	182	UE3-App3	4073.3	231.8	app3
ue     	183	UE3-App3	323.0	3699.1	app3
ue     	184	UE3-App3	1440.3	500.5	app3
ue     	185	UE3-App3	3963.1	3140.0	app3
ue     	186	UE3-App3	3023.5	3069.7	app3
ue     	187	UE3-App3	4298.0	3412.5	app3
ue     	188	UE3-App3	1316.3	1683.5	app3
ue     	189	UE3-App3	4922.2	1471.0	app3
ue     	190	UE3-App3	3130.4	3386.0	app3
ue     	191	UE3-App3	4384.1	2410.6	app3
ue     	192	UE3-App3	1749.3	2760.9	app3
ue     	193	UE3-App3	16.4	1402.2	app3
ue     	194	UE3-App3	3794.3	2586.4	app3
ue     	195	UE3-App3	399.4	2878.5	app3
ue     	196	UE3-App3	3050.0	1778.9	app3
ue     	197	UE3-App3	523.1	2385.3	app3
ue     	198	UE3-App3	3727.9	794.9	app3
ue     	199	UE3-App3	3174.5	282.4	app3
ue     	200	UE3-App3	1026.7	1433.1	app3
ue     	201	UE3-App3	3890.1	1133.2	app3
ue     	202	UE3-App3	4451.6	3932.4	app3
ue     	203	UE3-App3	816.8	106.9	app3
ue     	204	UE3-App3	3643.6	3057.5	app3
ue     	205	UE3-App3	4504.6	2689.9	app3
ue     	206	UE3-App3	3900.5	1462.1	app3
ue     	207	UE3-App3	504.1	3999.7	app3
ue     	208	UE3-App3	3023.5	1081.8	app3
ue     	209	UE3-App3	4463.8	294.4	app3
ue     	210	UE3-App3	283.9	1019.4	app3
ue     	211	UE3-App3	650.5	1643.0	app3
ue     	212	UE3-App3	3105.4	2077.7	app3
ue     	213	UE3-App3	2768.6	477.5	app3
ue     	214	UE3-App3	2674.7	3900.6	app3
ue     	215	UE3-App3	1648.9	3197.0	app3
ue     	216	UE3-App3	3189.9	3048.2	app3
ue     	217	UE3-App3	3289.7	1758.0	app3
ue     	218	UE3-App3	1174.9	374.3	app3
ue     	219	UE3-App3	566.2	403.7	app3
ue     	220	UE3-App3	3836.7	3349.3	app3
ue     	221	UE3-App3	4088.1	3539.2	app3
ue     	222	UE3-App3	1793.8	2696.4	app3
ue     	223	UE3-App3	4101.4	529.2	app3
ue     	224	UE3-App3	1.7	838.6	app3
ue     	225	UE3-App3	4578.8	3230.7	app3
ue     	226	UE3-App3	648.2	3388.7	app3
ue     	227	UE3-App3	873.3	1066.7	app3
ue     	228	UE3-App3	840.7	3535.8	app3
ue     	229	UE3-App3	4140.3	259.7	app3
ue     	230	UE3-App3	119.1	3164.9	app3
ue     	231	UE3-App3	1968.4	2273.7	app3
ue     	232	UE3-App3	3190.5	2174.4	app3
ue     	233	UE3-App3	940.0	1241.3	app3
ue     	234	UE3-App3	2987.2	3137.1	app3
ue     	235	UE3-App3	1691.1	90.6	app3
ue     	236	UE3-App3	726.3	1139.5	app3
ue     	237	UE3-App3	4805.9	1707.9	app3
ue     	238	UE3-App3	2487.5	1690.9	app3
ue     	239	UE3-App3	4330.5	3202.5	app3
ue     	240	UE3-App3	769.8	2664.3	app3
ue     	241	UE3-App3	2749.4	3590.1	app3
ue     	242	UE3-App3	313.7	2313.2	app3
ue     	243	UE3-App3	949.1	2277.4	app3
ue     	244	UE3-App3	4085.9	1736.1	app3
ue     	245	UE3-App3	2674.0	1460.5	app3
ue     	246	UE3-App3	4724.2	3449.6	app3
ue     	247	UE3-App3	448.5	170.9	app3
ue     	248	UE3-App3	2674.7	1245.8	app3
ue     	249	UE3-App3	156.2	2700.8	app3
ue     	250	UE3-App3	780.9	2575.3	app3
ue     	251	UE3-App3	493.1	2855.7	app3
ue     	252	UE3-App3	4187.3	3188.7	app3
ue     	253	UE3-App3	4414.8	2461.1	app3
ue     	254	UE3-App3	1668.8	729.8	app3
ue     	255	UE3-App3	3289.3	3897.0	app3
ue     	256	UE3-App3	3290.4	415.7	app3
ue     	257	UE3-App3	217.5	608.9	app3
ue     	258	UE3-App3	4014.5	543.8	app3
ue     	259	UE3-App3	3529.6	2334.9	app3
ue     	260	UE3-App3	1824.0	1683.2	app3
ue     	261	UE3-App3	1316.0	1643.9	app3
ue     	262	UE3-App3	920.1	2116.6	app3
ue     	263	UE3-App3	3304.1	2199.0	app3
ue     	264	UE3-App3	4956.6	3700.2	app3
ue     	265	UE3-App3	4451.4	2415.6	app3
ue     	266	UE3-App3	720.1	3035.6	app3
ue     	267	UE3-App3	4717.7	2402.5	app3
ue     	268	UE3-App3	2270.2	2621.0	app3
ue     	269	UE3-App3	3134.6	3310.7	app3
ue     	270	UE3-App3	2397.0	1486.7	app3
ue     	271	UE3-App3	4040.0	1861.6	app3
ue     	272	UE3-App3	3239.5	1136.9	app3
ue     	273	UE3-App3	2692.5	2250.7	app3
ue     	274	UE3-App3	2932.5	3144.4	app3
ue     	275	UE3-App3	1693.1	676.7	app3
ue     	276	UE3-App3	1874.5	2343.7	app3
ue     	277	UE3-App3	2454.1	1489.8	app3
ue     	278	UE3-App3	2106.9	708.8	app3
ue     	279	UE3-App3	523.6	2629.2	app3
ue     	280	UE3-App3	364.2	2295.3	app3
ue     	281	UE3-App3	4876.5	2025.9	app3
ue     	282	UE3-App3	3564.1	3054.2	app3
ue     	283	UE3-App3	2440.6	2102.7	app3
ue     	284	UE3-App3	1158.6	2508.5	app3
ue     	285	UE3-App3	2626.1	1341.0	app3
ue     	286	UE3-App3	4688.9	2526.5	app3
ue     	287	UE3-App3	2081.3	3610.6	app3
ue     	288	UE3-App3	3817.1	3880.3	app3
ue     	289	UE3-App3	1689.2	1923.6	app3
ue     	290	UE3-App3	1176.4	2915.2	app3
ue     	291	UE3-App3	4203.2	2763.4	app3
ue     	292	UE3-App3	3555.9	574.8	app3
ue     	293	UE3-App3	4666.5	561.2	app3
ue     	294	UE3-App3	4036.2	669.0	app3
ue     	295	UE3-App3	3429.5	2977.4	app3
ue     	296	UE3-App3	894.1	2232.7	app3
ue     	297	UE3-App3	1245.1	3811.3	app3
ue     	298	UE3-App3	913.2	3931.8	app3
ue     	299	UE3-App3	2500.7	21.0	app3
ue     	300	UE3-App3	778.8	1400.7	app3
ue     	301	UE3-App3	3383.5	2553.8	app3
ue     	302	UE3-App3	1124.0	1707.5	app3
ue     	303	UE3-App3	4243.3	1889.5	app3
ue     	304	UE3-App3	1592.9	2551.5	app3
ue     	305	UE3-App3	4324.0	2788.9	app3
ue     	306	UE3-App3	4901.5	1773.6	app3
ue     	307	UE3-App3	72.3	152.0	app3
ue     	308	UE3-App3	4859.1	1460.6	app3
ue     	309	UE3-App3	3891.6	3882.5	app3
ue     	310	UE3-App3	2741.2	2693.5	app3
ue     	311	UE3-App3	2810.4	2918.0	app3
ue     	312	UE3-App3	4110.9	2780.8	app3
ue     	313	UE3-App3	3327.9	130.6	app3
ue     	314	UE3-App3	633.4	1795.1	app3
ue     	315	UE3-App3	4078.5	3345.9	app3
ue     	316	UE3-App3	2142.8	3351.7	app3
ue     	317	UE3-App3	1740.9	2596.1	app3
ue     	318	UE3-App3	625.2	3817.9	app3
ue     	319	UE3-App3	1782.3	1243.0	app3
ue     	320	UE3-App3	357.5	823.3	app3
ue     	321	UE3-App3	234.5	2233.6	app3
ue     	322	UE3-App3	4883.9	40.2	app3
ue     	323	UE3-App3	2430.3	1681.7	app3
ue     	324	UE3-App3	3521.4	256.5	app3
ue     	325	UE3-App3	942.2	1396.4	app3
ue     	326	UE3-App3	1645.4	1658.8	app3
ue     	327	UE3-App3	2441.5	1583.7	app3
ue     	328	UE3-App3	1795.4	3752.9	app3
ue     	329	UE3-App3	512.6	1028.6	app3
ue     	330	UE3-App3	3462.1	1472.8	app3
ue     	331	UE3-App3	950.1	3462.1	app3
ue     	332	UE3-App3	2111.3	2581.2	app3
ue     	333	UE3-App3	4607.3	3716.4	app3
ue     	334	UE3-App3	2183.9	1789.5	app3
ue     	335	UE3-App3	201.9	206.2	app3
ue     	336	UE3-App3	4680.9	3786.8	app3
ue     	337	UE3-App3	1962.9	3332.8	app3
ue     	338	UE3-App3	3658.0	1471.1	app3
ue     	339	UE3-App3	315.5	2422.8	app3
ue     	340	UE3-App3	605.5	1777.6	app3
ue     	341	UE3-App3	2500.4	131.9	app3
ue     	342	UE3-App3	1023.1	1148.0	app3
ue     	343	UE3-App3	3514.6	606.8	app3
ue     	344	UE3-App3	3024.8	1442.8	app3
ue     	345	UE3-App3	2672.0	3462.7	app3
ue     	346	UE3-App3	3078.2	3353.5	app3
ue     	347	UE3-App3	1039.9	962.9	app3
ue     	348	UE3-App3	2379.3	886.5	app3
ue     	349	UE3-App3	1560.8	3106.2	app3
ue     	350	UE3-App3	984.4	1929.2	app3
ue     	351	UE3-App3	1654.1	2505.8	app3
ue     	352	UE3-App3	2316.2	3640.1	app3
ue     	353	UE3-App3	2181.8	3654.0	app3
ue     	354	UE3-App3	396.6	1574.6	app3
ue     	355	UE3-App3	2329.9	394.2	app3
ue     	356	UE3-App3	4357.7	3377.3	app3
ue     	357	UE3-App3	1913.8	2255.2	app3
ue     	358	UE3-App3	2652.0	932.6	app3
ue     	359	UE3-App3	286.8	2784.7	app3
ue     	360	UE3-App3	3949.7	1776.6	app3
ue     	361	UE3-App3	3047.6	2429.6	app3
ue     	362	UE3-App3	3885.4	699.9	app3
ue     	363	UE3-App3	2601.4	3632.2	app3
ue     	364	UE3-App3	2086.2	2946.0	app3
ue     	365	UE3-App3	414.5	1542.3	app3
ue     	366	UE3-App3	315.9	1863.2	app3
ue     	367	UE3-App3	3163.4	539.5	app3
ue     	368	UE3-App3	841.2	2798.4	app3
ue     	369	UE3-App3	641.8	3858.6	app3
ue     	370	UE3-App3	3991.9	1663.8	app3
ue     	371	UE3-App3	801.5	1072.9	app3
ue     	372	UE3-App3	1160.0	3265.9	app3
ue     	373	UE3-App3	1483.5	2352.3	app3
ue     	374	UE3-App3	245.9	3469.1	app3
ue     	375	UE3-App3	4647.3	3071.6	app3
ue     	376	UE3-App3	3055.6	103.0	app3
ue     	377	UE3-App3	792.3	1332.2	app3
ue     	378	UE3-App3	3329.0	645.1	app3
ue     	379	UE3-App3	197.6	973.5	app3
ue     	380	UE3-App3	1737.1	334.3	app3
ue     	381	UE3-App3	4563.9	1740.5	app3
ue     	382	UE3-App3	472.5	2225.0	app3
ue     	383	UE3-App3	253.6	2628.3	app3
ue     	384	UE3-App3	3272.3	1657.8	app3
ue     	385	UE3-App3	778.9	2687.6	app3
ue     	386	UE3-App3	854.1	3059.3	app3
ue     	387	UE3-App3	2909.5	2951.6	app3
ue     	388	UE3-App3	4785.4	2461.9	app3
ue     	389	UE3-App3	1554.6	1727.5	app3
ue     	390	UE3-App3	3005.1	3657.7	app3
ue     	391	UE3-App3	718.5	915.3	app3
ue     	392	UE3-App3	3720.0	3162.4	app3
ue     	393	UE3-App3	2528.8	3957.4	app3
ue     	394	UE3-App3	2937.7	3774.8	app3
ue     	395	UE3-App3	986.7	2117.7	app3
ue     	396	UE3-App3	1162.0	3584.6	app3
ue     	397	UE3-App3	593.5	1210.6	app3
ue     	398	UE3-App3	886.1	65.2	app3
ue     	399	UE3-App3	3595.1	2508.2	app3
ue     	400	UE3-App3	3342.3	925.2	app3
ue     	401	UE3-App3	3188.5	927.0	app3
ue     	402	UE3-App3	3102.1	3678.4	app3
ue     	403	UE3-App3	4975.7	312.0	app3
ue     	404	UE3-App3	1341.3	2246.7	app3
ue     	405	UE3-App3	1330.1	3861.5	app3
ue     	406	UE3-App3	3086.7	3927.4	app3
ue     	407	UE3-App3	44.3	2847.0	app3
ue     	408	UE3-App3	452.6	2051.7	app3
ue     	409	UE3-App3	4885.6	284.0	app3
ue     	410	UE3-App3	2324.6	2019.0	app3
ue     	411	UE3-App3	2180.3	1240.5	app3
ue     	412	UE3-App3	3803.3	2548.4	app3
ue     	413	UE3-App3	707.1	1336.6	app3
ue     	414	UE3-App3	2205.3	2993.8	app3
ue     	415	UE3-App3	2338.8	1209.6	app3
ue     	416	UE3-App3	3482.9	1919.3	app3
ue     	417	UE3-App3	1753.9	3404.6	app3
ue     	418	UE3-App3	1153.9	1433.7	app3
ue     	419	UE3-App3	4628.6	1018.0	app3
ue     	420	UE3-App3	2870.8	369.1	app3
ue     	421	UE3-App3	46.0	2854.7	app3
ue     	422	UE3-App3	1870.9	1800.8	app3
ue     	423	UE3-App3	1937.0	713.5	app3
ue     	424	UE3-App3	897.2	2700.8	app3
ue     	425	UE3-App3	1034.9	1812.5	app3
ue     	426	UE3-App3	718.2	3112.1	app3
ue     	427	UE3-App3	2742.0	2947.3	app3
ue     	428	UE3-App3	2141.5	1510.4	app3
ue     	429	UE3-App3	1291.9	2292.2	app3
ue     	430	UE3-App3	4179.5	3889.1	app3
ue     	431	UE3-App3	1977.5	2809.8	app3
ue     	432	UE3-App3	3436.4	22.6	app3
ue     	433	UE3-App3	4605.4	3935.0	app3
ue     	434	UE3-App3	1127.3	2391.2	app3
ue     	435	UE3-App3	773.8	2396.3	app3
ue     	436	UE3-App3	2224.0	2853.0	app3
ue     	437	UE3-App3	1601.6	2845.1	app3
ue     	438	UE3-App3	3263.0	1347.1	app3
ue     	439	UE3-App3	4912.2	216.6	app3
ue     	440	UE3-App3	114.3	533.1	app3
ue     	441	UE3-App3	1354.3	1966.1	app3
ue     	442	UE3-App3	3348.6	2613.3	app3
ue     	443	UE3-App3	796.0	2122.8	app3
ue     	444	UE3-App3	865.4	1106.0	app3
ue     	445	UE3-App3	2006.6	1897.7	app3
ue     	446	UE3-App3	1908.4	1677.5	app3
ue     	447	UE3-App3	4868.4	2776.0	app3
ue     	448	UE3-App3	1625.3	540.5	app3
ue     	449	UE3-App3	1160.9	3075.9	app3
ue     	450	UE3-App3	4998.2	1208.7	app3
ue     	451	UE3-App3	461.4	1465.7	app3
ue     	452	UE3-App3	4822.4	1111.1	app3
ue     	453	UE3-App3	3828.4	2173.8	app3
ue     	454	UE3-App3	2406.7	161.1	app3
ue     	455	UE3-App3	1195.9	1857.2	app3
ue     	456	UE3-App3	2140.1	411.7	app3
ue     	457	UE3-App3	2471.6	3638.0	app3
ue     	458	UE3-App3	3105.9	2487.3	app3
ue     	459	UE3-App3	3926.1	3907.2	app3
ue     	460	UE3-App3	656.3	772.1	app3
ue     	461	UE3-App3	99.4	3837.8	app3
ue     	462	UE3-App3	362.0	2151.4	app3
ue     	463	UE3-App3	2401.4	2506.3	app3
ue     	464	UE3-App3	1455.3	3729.9	app3
ue     	465	UE3-App3	1621.5	1569.1	app3
ue     	466	UE3-App3	3138.9	795.2	app3
ue     	467	UE3-App3	3111.0	3306.2	app3
ue     	468	UE3-App3	174.6	2710.5	app3
ue     	469	UE3-App3	4408.5	2505.3	app3
ue     	470	UE3-App3	1496.6	3443.3	app3
ue     	471	UE3-App3	1434.7	2155.5	app3
ue     	472	UE3-App3	1955.4	505.5	app3
ue     	473	UE3-App3	763.1	3799.2	app3
ue     	474	UE3-App3	3169.4	3828.2	app3
ue     	475	UE3-App3	531.8	1752.1	app3
ue     	476	UE3-App3	280.9	3005.5	app3
